#,MM:DD:YYYY,HH:MM:SS,PM1.0,PM2.5,PM10.0,TVOC(ppb),CO2(ppm)
184, 1/ 1/2000, 3: 8: 0 AM,2,3,3,167,400
185, 1/ 1/2000, 3: 9: 0 AM,3,4,5,171,400
186, 1/ 1/2000, 3:10: 0 AM,3,5,8,161,400
187, 1/ 1/2000, 3:11: 0 AM,3,3,3,154,400
188, 1/ 1/2000, 3:12: 0 AM,2,4,7,152,400
189, 1/ 1/2000, 3:13: 0 AM,4,5,8,162,400
190, 1/ 1/2000, 3:14: 0 AM,2,3,5,145,400
191, 1/ 1/2000, 3:15: 0 AM,5,6,6,156,400
192, 1/ 1/2000, 3:16: 0 AM,3,3,3,153,400
193, 1/ 1/2000, 3:17: 0 AM,3,4,4,144,400
194, 1/ 1/2000, 3:18: 0 AM,3,3,5,157,400
195, 1/ 1/2000, 3:19: 0 AM,4,5,7,156,400
196, 1/ 1/2000, 3:20: 0 AM,2,3,3,155,400
197, 1/ 1/2000, 3:21: 0 AM,3,4,4,141,400
198, 1/ 1/2000, 3:22: 0 AM,3,3,4,157,400
199, 1/ 1/2000, 3:23: 0 AM,3,4,9,135,400
200, 1/ 1/2000, 3:24: 0 AM,2,2,5,153,400
201, 1/ 1/2000, 3:25: 0 AM,3,3,3,151,400
202, 1/ 1/2000, 3:26: 0 AM,4,6,6,148,400
203, 1/ 1/2000, 3:27: 0 AM,3,4,4,142,400
204, 1/ 1/2000, 3:28: 0 AM,2,3,4,163,400
205, 1/ 1/2000, 3:29: 0 AM,3,4,4,152,400
206, 1/ 1/2000, 3:30: 0 AM,2,4,4,153,400
207, 1/ 1/2000, 3:31: 0 AM,2,3,3,161,400
208, 1/ 1/2000, 3:32: 0 AM,3,4,4,157,400
209, 1/ 1/2000, 3:33: 0 AM,3,4,5,162,400
210, 1/ 1/2000, 3:34: 0 AM,3,4,4,161,400
211, 1/ 1/2000, 3:35: 0 AM,3,4,4,157,400
212, 1/ 1/2000, 3:36: 0 AM,3,3,3,147,400
213, 1/ 1/2000, 3:37: 0 AM,2,3,3,152,400
214, 1/ 1/2000, 3:38: 0 AM,2,3,4,148,400
215, 1/ 1/2000, 3:39: 0 AM,4,5,5,146,400
216, 1/ 1/2000, 3:40: 0 AM,3,4,4,149,400
217, 1/ 1/2000, 3:41: 0 AM,4,5,6,151,400
218, 1/ 1/2000, 3:42: 0 AM,2,3,3,143,400
219, 1/ 1/2000, 3:43: 0 AM,2,3,3,148,400
220, 1/ 1/2000, 3:44: 0 AM,3,4,4,159,400
